CONFIG_REF,Item,Name,Location,Status,Version
GP01-UIS-UCD,User Interface Specification: Use Case Document,case-doc.pdf,/docs/usecase/,RELEASE,1.3
GP01-UIS-OP,User Interface Specification: Online Presentation,GP01-UIS-OP.pdf,/docs/,RELEASE,1.1
GP01-TS-TS,Test Specification,testspec.pdf,/docs/testspec/,RELEASE,1
GP01-UIS-DS,Design Specification,design-doc.pdf,/docs/designdoc/,RELEASE,1.2
GP01-FS-PTR,Test Report,test-report.pdf,/docs/testreport/,RELEASE,1
GP01-FS-EOP,End Of Project Report,end-project-report.pdf,/docs/endprojreport/,RELEASE,1
GP01-FS-PMM,The Project Maintenance Manual,maintain-man.pdf,/docs/maintman/,RELEASE,1
,,,,,
,,,,,
GP01-B-1.9,Usable Jar for java 1.9,GP01_1.9_v2.jar,/docs/release/,RELEASE,2
GP01-B-1.8,Usable Jar for java 1.8,GP01_1.8_v2.jar,/docs/release/,RELEASE,2
